EAN_13,categorie,code,description,marque,nom,prix,reference_fabricant,remise_pourcentage,url_produit
4006825672718,Rabot,B8563500,"La raboteuse sans fil Einhell TP-PL 18/3 Li BL - Solo est un outil puissant et polyvalent, parfait pour les bricoleurs exigeants et les amateurs de travail du bois. Membre de la gamme Power X-Change, elle fonctionne avec un moteur sans balais PurePOWER pour une durée de fonctionnement plus longue et une puissance optimale, pouvant atteindre une profondeur de coupe de 3 mm.",EINHELL ,"
              Raboteuse sans fil  TP-PL 18/3 Li BL - Solo - EINHELL           ",175.3,EIN-4345405,"-10,53%",https://www.centrale-brico.com/einhell-raboteuse-sans-fil-tp-pl-183-li-bl-solo-b8563500
4006825664263,Défonceuse,B7984600,"Avec son variateur électronique en continu et son puissant moteur, la défonceuse sans fil TP-RO 18 Li BL-Solo Einhell est parée au mieux pour un fraisage précis. Profondeur de fraisage réglable en continu et réglage fin, conception aluminium haute qualité, accessoire à 2 mains pour une utilisation précise Avec pinces de serrage 6 et 8 mm pour diverses fraises et dispositif de blocage d’arbre facilitant le changement d’outil Poignée ergonomique à surface Softgrip, pare-copeaux et lampe LED pour une utilisation confortable La défonceuse fait partie de la gamme Power X-Change. Sont inclus de série : butée parallèle, pointe de compas, outil, adaptateur pour aspirateurs eaux et poussières Einhell. Vendue sans batterie ni chargeur",EINHELL ,"
              Défonceuse sans fil TP-RO 18 Li BL - Solo + accessoires - sans batterie - EINHELL           ",149.95,EIN-4350411,"-19,36%",https://www.centrale-brico.com/einhell-defonceuse-sans-fil-tp-ro-18-li-bl-solo-accessoires-sans-batterie-b7984600
4006150175229,Mélangeur-Turbine,B8568900,Le double mélangeur TMX PRO 1400 DOUBLE est conçu pour mélanger efficacement de grandes quantités grâce à ses deux vitesses et son moteur robuste.,BergTecTool,"
              Mélangeur à main - modèle TMXPRO 1400 - 230V & 1400W - Double - 2 vitesses - 0-480 & 0-680 tr/min - BergTecTool          ",229.99,Ber-17522,N/A,https://www.centrale-brico.com/bergtectool-melangeur-a-main-modele-tmxpro-1400-230v-1400w-double-2-vitesses-0-480-0-680-trmin-b8568900
4006825673234,Pistolet à peinture,B8565000,"Le système de pulvérisation sans fil Einhell TE-SY 18/90 Li-Solo est idéal pour les travaux de peinture et de vernissage sur des surfaces moyennes à grandes. Il fait partie de la famille Power X-Change, compatible avec toutes les batteries et chargeurs de la gamme.",EINHELL ,"
              Pistolet à peinture sur batterie  TE-SY 18/90 Li-Solo - EINHELL           ",130.49,EIN-4260040,"-12,98%",https://www.centrale-brico.com/einhell-pistolet-a-peinture-sur-batterie-te-sy-1890-li-solo-b8565000
9120058372124,Découpeur,B8309100,Poids net en kg : 12,Holzmann,"
              Plieuse 320 x 300 x 2,5 mm - Livré sans étau - Holzmann          ",225.79,HOL-AKM320,"-5,49%",https://www.centrale-brico.com/holzmann-plieuse-320-x-300-x-25-mm-livre-sans-etau-b8309100
4006150176035,Décapeur,B8568400,"Le pistolet thermique numérique TM DHG 2000, modèle CH, est conçu pour offrir une régulation thermique précise avec un affichage numérique clair.",BergTecTool,"
              Décapeur thermique numérique - modèle TMDHG 2000 - [230V - CH] - 2000W - 50°C à 630°C - débit d'air : 550 L/min - BergTecTool          ",85,Ber-17603,N/A,https://www.centrale-brico.com/bergtectool-decapeur-thermique-numerique-modele-tmdhg-2000-230v-ch-2000w-50c-a-630c-debit-d-air-550-lmin-b8568400
4004025098796,Décolleuse,B7482400,,WAGNER,"
              Décolleuse À Papier Peint Électrique À Vapeur Steamforce Plus, 2000W - WAGNER          ",77.43,WAG-5630632,"-5,22%",https://www.centrale-brico.com/wagner-decolleuse-papier-peint-lectrique-vapeur-steamforce-plus-2000w-b7482400
4006150130235,Aspirateur,B8547500,"Le NTS 30 Premium est un aspirateur performant conçu principalement pour l’aspiration des poussières de chantier et le nettoyage des véhicules. Grâce à sa technologie à triple filtre, même les poussières fines ne posent plus de problème. Cet aspirateur est équipé d’une prise électrique de 2000 watts, permettant de connecter d'autres outils électriques. Avec l'option de mise en marche automatique, l’aspirateur s’active ou s’éteint en fonction de l’outil connecté.",BergTecTool,"
              Aspirateur professionnel humide et sec - modèle NTS 30 PREMIUM - 230V et 1600W - 30L - 190/21 MBAR - allumage automatique - BergTecTool          ",394.99,BER-13023,N/A,https://www.centrale-brico.com/bergtectool-aspirateur-professionnel-humide-et-sec-modele-nts-30-premium-230v-et-1600w-30l-19021-mbar-allumage-automatique-b8547500
9120039234151,Aspirateur,B8350200,,Zipper,"
              Aspirateur Démarrage automatique - 550 W - 230V - Zipper          ",204.99,ZIP-ZI-ASA550ESA,"-23,8%",https://www.centrale-brico.com/zipper-aspirateur-demarrage-automatique-550-w-230v-b8350200
4009317589419,Fraise à lamelle,B6332500,"Lame pour fraiseuse Cette lame pour fraiseuse a une dimension de 100 x 22 x 3,8 mm Lame aux carbures de tungstène à 6 dents",KWB by Einhell,"
              Lame pour fraiseuse à lamelle 100x22x3,8 mm 6 dents - KWB by Einhell          ",20.94,KWB-49758941,"-4,6%",https://www.centrale-brico.com/kwb-by-einhell-lame-pour-fraiseuse-a-lamelle-100x22x38-mm-6-dents-b6332500
